Date,ISO,Country,Status
16/02/2020,ABW,Aruba,Fully open
16/02/2020,AFG,Afghanistan,Fully open
16/02/2020,AGO,Angola,Fully open
16/02/2020,AIA,Anguilla,Fully open
16/02/2020,ALB,Albania,Fully open
16/02/2020,AND,Andorra,Fully open
16/02/2020,ARE,United Arab Emirates,Fully open
16/02/2020,ARG,Argentina,Fully open
16/02/2020,ARM,Armenia,Fully open
16/02/2020,ATG,Antigua and Barbuda,Fully open
16/02/2020,AUS,Australia,Fully open
16/02/2020,AUT,Austria,Fully open
16/02/2020,AZE,Azerbaijan,Fully open
16/02/2020,BDI,Burundi,Fully open
16/02/2020,BEL,Belgium,Fully open
16/02/2020,BEN,Benin,Fully open
16/02/2020,BFA,Burkina Faso,Fully open
16/02/2020,BGD,Bangladesh,Fully open
16/02/2020,BGR,Bulgaria,Fully open
16/02/2020,BHR,Bahrain,Fully open
16/02/2020,BHS,Bahamas,Fully open
16/02/2020,BIH,Bosnia and Herzegovina,Fully open
16/02/2020,BLR,Belarus,Fully open
16/02/2020,BLZ,Belize,Fully open
16/02/2020,BMU,Bermuda,Fully open
16/02/2020,BOL,Bolivia (Plurinational State of),Fully open
16/02/2020,BRA,Brazil,Fully open
16/02/2020,BRB,Barbados,Fully open
16/02/2020,BRN,Brunei Darussalam,Fully open
16/02/2020,BTN,Bhutan,Fully open
16/02/2020,BWA,Botswana,Fully open
16/02/2020,CAF,Central African republic,Fully open
16/02/2020,CAN,Canada,Fully open
16/02/2020,CHE,Switzerland,Fully open
16/02/2020,CHL,Chile,Fully open
16/02/2020,CHN,China,Partially open
16/02/2020,CIV,Cote d'Ivoire,Fully open
16/02/2020,CMR,Cameroon,Fully open
16/02/2020,COD,Democratic Republic of the Congo,Fully open
16/02/2020,COG,Congo,Fully open
16/02/2020,COK,Cook Islands,Fully open
16/02/2020,COL,Colombia,Fully open
16/02/2020,COM,Comoros,Fully open
16/02/2020,CPV,Cabo Verde,Fully open
16/02/2020,CRI,Costa Rica,Fully open
16/02/2020,CUB,Cuba,Fully open
16/02/2020,CYM,Cayman Islands,Fully open
16/02/2020,CYP,Cyprus,Fully open
16/02/2020,CZE,Czechia,Fully open
